ticker,name,sector_name,industry,website
COMP01,Company Name 01,Technology,Industry 0,https://www.comp01.com
COMP02,Company Name 02,Financials,Industry 1,https://www.comp02.com
COMP03,Company Name 03,Healthcare,Industry 2,https://www.comp03.com
COMP04,Company Name 04,Energy,Industry 3,https://www.comp04.com
COMP05,Company Name 05,Consumer Goods,Industry 4,https://www.comp05.com
COMP06,Company Name 06,Technology,Industry 5,invalid_website_url_test
COMP07,Company Name 07,Financials,Industry 6,https://www.comp07.com
COMP08,Company Name 08,Healthcare,Industry 7,https://www.comp08.com
COMP09,Company Name 09,Energy,Industry 8,https://www.comp09.com
COMP10,Company Name 10,Consumer Goods,Industry 9,https://www.comp10.com
COMP11,Company Name 11,Technology,Industry 0,https://www.comp11.com
COMP12,Company Name 12,Financials,Industry 1,https://www.comp12.com
COMP13,Company Name 13,Healthcare,Industry 2,https://www.comp13.com
COMP14,Company Name 14,Energy,Industry 3,https://www.comp14.com
COMP15,Company Name 15,Consumer Goods,Industry 4,https://www.comp15.com
COMP16,Company Name 16,Technology,Industry 5,https://www.comp16.com
COMP17,Company Name 17,Financials,Industry 6,https://www.comp17.com
COMP18,Company Name 18,Healthcare,Industry 7,https://www.comp18.com
COMP19,Company Name 19,Energy,Industry 8,https://www.comp19.com
COMP20,Company Name 20,Consumer Goods,Industry 9,https://www.comp20.com
COMP21,Company Name 21,Technology,Industry 0,https://www.comp21.com
COMP22,Company Name 22,Financials,Industry 1,https://www.comp22.com
COMP23,Company Name 23,Healthcare,Industry 2,https://www.comp23.com
COMP24,Company Name 24,Energy,Industry 3,https://www.comp24.com
COMP25,Company Name 25,Consumer Goods,Industry 4,https://www.comp25.com
COMP26,Company Name 26,Technology,Industry 5,https://www.comp26.com
COMP27,Company Name 27,Financials,Industry 6,https://www.comp27.com
COMP28,Company Name 28,Healthcare,Industry 7,https://www.comp28.com
COMP29,Company Name 29,Energy,Industry 8,https://www.comp29.com
COMP30,Company Name 30,Consumer Goods,Industry 9,https://www.comp30.com
COMP31,Company Name 31,Technology,Industry 0,https://www.comp31.com
COMP32,Company Name 32,Financials,Industry 1,https://www.comp32.com
COMP33,Company Name 33,Healthcare,Industry 2,https://www.comp33.com
COMP34,Company Name 34,Energy,Industry 3,https://www.comp34.com
COMP35,Company Name 35,Consumer Goods,Industry 4,https://www.comp35.com
COMP36,Company Name 36,Technology,Industry 5,https://www.comp36.com
COMP37,Company Name 37,Financials,Industry 6,https://www.comp37.com
COMP38,Company Name 38,Healthcare,Industry 7,https://www.comp38.com
COMP39,Company Name 39,Energy,Industry 8,https://www.comp39.com
COMP40,Company Name 40,Consumer Goods,Industry 9,https://www.comp40.com
COMP41,Company Name 41,Technology,Industry 0,https://www.comp41.com
COMP42,Company Name 42,Financials,Industry 1,https://www.comp42.com
COMP43,Company Name 43,Healthcare,Industry 2,https://www.comp43.com
COMP44,Company Name 44,Energy,Industry 3,https://www.comp44.com
COMP45,Company Name 45,Consumer Goods,Industry 4,https://www.comp45.com
COMP46,Company Name 46,Technology,Industry 5,https://www.comp46.com
COMP47,Company Name 47,Financials,Industry 6,https://www.comp47.com
COMP48,Company Name 48,Healthcare,Industry 7,https://www.comp48.com
COMP49,Company Name 49,Energy,Industry 8,https://www.comp49.com
COMP50,Company Name 50,Consumer Goods,Industry 9,https://www.comp50.com
COMP51,Company Name 51,Technology,Industry 0,https://www.comp51.com
COMP52,Company Name 52,Financials,Industry 1,https://www.comp52.com
COMP53,Company Name 53,Healthcare,Industry 2,https://www.comp53.com
COMP54,Company Name 54,Energy,Industry 3,https://www.comp54.com
COMP55,Company Name 55,Consumer Goods,Industry 4,https://www.comp55.com
COMP56,Company Name 56,Technology,Industry 5,https://www.comp56.com
COMP57,Company Name 57,Financials,Industry 6,https://www.comp57.com
COMP58,Company Name 58,Healthcare,Industry 7,https://www.comp58.com
COMP59,Company Name 59,Energy,Industry 8,https://www.comp59.com
COMP60,Company Name 60,Consumer Goods,Industry 9,https://www.comp60.com
COMP61,Company Name 61,Technology,Industry 0,https://www.comp61.com
COMP62,Company Name 62,Financials,Industry 1,https://www.comp62.com
COMP63,Company Name 63,Healthcare,Industry 2,https://www.comp63.com
COMP64,Company Name 64,Energy,Industry 3,https://www.comp64.com
COMP65,Company Name 65,Consumer Goods,Industry 4,https://www.comp65.com
COMP66,Company Name 66,Technology,Industry 5,https://www.comp66.com
COMP67,Company Name 67,Financials,Industry 6,https://www.comp67.com
COMP68,Company Name 68,Healthcare,Industry 7,https://www.comp68.com
COMP69,Company Name 69,Energy,Industry 8,https://www.comp69.com
COMP70,Company Name 70,Consumer Goods,Industry 9,https://www.comp70.com
COMP71,Company Name 71,Technology,Industry 0,https://www.comp71.com
COMP72,Company Name 72,Financials,Industry 1,https://www.comp72.com
COMP73,Company Name 73,Healthcare,Industry 2,https://www.comp73.com
COMP74,Company Name 74,Energy,Industry 3,https://www.comp74.com
COMP75,Company Name 75,Consumer Goods,Industry 4,https://www.comp75.com
COMP76,Company Name 76,Technology,Industry 5,https://www.comp76.com
COMP77,Company Name 77,Financials,Industry 6,https://www.comp77.com
COMP78,Company Name 78,Healthcare,Industry 7,https://www.comp78.com
COMP79,Company Name 79,Energy,Industry 8,https://www.comp79.com
