company_id,metric_type,period_years,value_pct,divergence_pct,divergence_flag
COMP01,compounded_sales_growth,10,15.0,200.0,1
COMP01,compounded_sales_growth,5,12.0,140.0,1
COMP01,compounded_sales_growth,3,10.0,100.0,1
COMP01,compounded_sales_growth,1,8.0,0.0,0
COMP01,compounded_profit_growth,10,18.0,260.0,1
COMP01,compounded_profit_growth,5,16.0,220.0,1
COMP01,compounded_profit_growth,3,14.0,180.0,1
COMP01,compounded_profit_growth,1,12.0,0.0,0
COMP01,stock_price_cagr,10,20.0,0.0,0
COMP01,stock_price_cagr,5,17.0,0.0,0
COMP01,stock_price_cagr,3,13.0,0.0,0
COMP01,stock_price_cagr,1,9.0,0.0,0
COMP01,roe,10,22.0,76.0,1
COMP01,roe,5,20.0,60.0,1
COMP01,roe,3,18.0,44.0,1
COMP01,roe,1,16.0,28.0,1
COMP02,compounded_sales_growth,10,16.0,77.78,1
COMP02,compounded_sales_growth,5,13.0,44.44,1
COMP02,compounded_sales_growth,3,11.0,22.22,1
COMP02,compounded_sales_growth,1,9.0,0.0,0
COMP02,compounded_profit_growth,10,19.0,111.11,1
COMP02,compounded_profit_growth,5,17.0,88.89,1
COMP02,compounded_profit_growth,3,15.0,66.67,1
COMP02,compounded_profit_growth,1,13.0,0.0,0
COMP02,stock_price_cagr,10,21.0,0.0,0
COMP02,stock_price_cagr,5,18.0,0.0,0
COMP02,stock_price_cagr,3,14.0,0.0,0
COMP02,stock_price_cagr,1,10.0,0.0,0
COMP02,roe,10,23.0,83.27,1
COMP02,roe,5,21.0,67.33,1
COMP02,roe,3,19.0,51.39,1
COMP02,roe,1,17.0,35.46,1
COMP03,compounded_sales_growth,10,17.0,30.77,1
COMP03,compounded_sales_growth,5,14.0,7.69,1
COMP03,compounded_sales_growth,3,12.0,7.69,1
COMP03,compounded_sales_growth,1,10.0,0.0,0
COMP03,compounded_profit_growth,10,20.0,53.85,1
COMP03,compounded_profit_growth,5,18.0,38.46,1
COMP03,compounded_profit_growth,3,16.0,23.08,1
COMP03,compounded_profit_growth,1,14.0,0.0,0
COMP03,stock_price_cagr,10,22.0,0.0,0
COMP03,stock_price_cagr,5,19.0,0.0,0
COMP03,stock_price_cagr,3,15.0,0.0,0
COMP03,stock_price_cagr,1,11.0,0.0,0
COMP03,roe,10,24.0,90.48,1
COMP03,roe,5,22.0,74.6,1
COMP03,roe,3,20.0,58.73,1
COMP03,roe,1,18.0,42.86,1
