company_id,from_year,to_year,previous_pattern,new_pattern
COMP45,2011,2012,Mixed,Shareholder Returns
COMP49,2011,2012,Mixed,Shareholder Returns
COMP53,2012,2013,Mixed,Shareholder Returns
COMP57,2014,2015,Mixed,Shareholder Returns
COMP61,2022,2023,Mixed,Shareholder Returns
COMP65,2011,2012,Mixed,Shareholder Returns
COMP69,2011,2012,Mixed,Shareholder Returns
COMP73,2012,2013,Mixed,Shareholder Returns
COMP77,2013,2014,Mixed,Shareholder Returns
COMP85,2011,2012,Mixed,Shareholder Returns
COMP89,2011,2012,Mixed,Shareholder Returns
