[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2010, Metric: ROCE, Computed: 6.00%, Benchmark: 15.00% (absolute threshold), Difference: 9.00%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2011, Metric: ROCE, Computed: 5.94%, Benchmark: 15.00% (absolute threshold), Difference: 9.06%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2012, Metric: ROCE, Computed: 5.89%, Benchmark: 15.00% (absolute threshold), Difference: 9.11%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2013, Metric: ROCE, Computed: 5.83%, Benchmark: 15.00% (absolute threshold), Difference: 9.17%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2014, Metric: ROCE, Computed: 5.78%, Benchmark: 15.00% (absolute threshold), Difference: 9.22%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2015, Metric: ROCE, Computed: 5.72%, Benchmark: 15.00% (absolute threshold), Difference: 9.28%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2015, Metric: Return on Equity, Computed: 1.59%, Pre-computed: 12.50%, Difference: 10.91%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.436377] [data source issue] Company: COMP01, Metric: ROCE, Computed: 5.72% if calculated, Description: Pre-computed roce_percentage column is missing in companies.xlsx source file.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2016, Metric: ROCE, Computed: 5.67%, Benchmark: 15.00% (absolute threshold), Difference: 9.33%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2016, Metric: Return on Equity, Computed: 1.57%, Pre-computed: 12.50%, Difference: 10.93%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2017, Metric: ROCE, Computed: 5.61%, Benchmark: 15.00% (absolute threshold), Difference: 9.39%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2017, Metric: Return on Equity, Computed: 1.56%, Pre-computed: 12.50%, Difference: 10.94%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2018, Metric: ROCE, Computed: 5.56%, Benchmark: 15.00% (absolute threshold), Difference: 9.44%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2018, Metric: Return on Equity, Computed: 1.54%, Pre-computed: 12.50%, Difference: 10.96%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2019, Metric: ROCE, Computed: 5.51%, Benchmark: 15.00% (absolute threshold), Difference: 9.49%, Description: ROCE is below the benchmark of 15.00%.
